name,types,count_review,grade,price,platforms,developer,tags,date_release
Warbanners: Death Speaker,"Strategy Games,Warbanners,Downloadable Content",(15 reviews),Positive,39 pуб.,хз,Crasleen Games,"Strategy,RPG,Indie,Turn-Based Combat,Singleplayer,Tactical RPG,Dark Fantasy,Medieval,Turn-Based Tactics,Adventure,Fantasy,Tactical,Turn-Based Strategy,Story Rich,2D,Difficult,Atmospheric,Strategy RPG,Turn-Based","29 Mar, 2018"
Swordbreaker: Origins,"Indie Games,DuCats Games Franchise",(19 reviews),Positive,315 pуб.,хз,DuCats Games Studio,"Indie,Gore,Violent,Adventure,Nudity,Visual Novel,Singleplayer,Replay Value,2D,Exploration,Comedy,Interactive Fiction,Hand-drawn,Stylized,Atmospheric,Parody,Medieval,Puzzle,Point & Click,Difficult","13 May, 2022"
Ken Follett's The Pillars of the Earth - Soundtrack,"Indie Games,Daedalic Entertainment Franchise,Ken Follett's The Pillars of the Earth,Downloadable Content",(23 reviews),Positive,10 pуб.,хз,Daedalic Entertainment,"Adventure,Indie,Casual,Violent","15 Aug, 2017"
Craft The World - Temples of 4 Elements,"Indie Games,Craft The World,Downloadable Content",(52 reviews),,"62,50 pуб.",хз,Dekovir Entertainment,"Strategy,RPG,Indie,Simulation","18 Sep, 2019"
Code Brown,Indie Games,(76 reviews),Very Positive,32 pуб.,хз,CreaTeam,"Hidden Object,Stealth,Arcade,2D,Cute,Parody,Psychological Horror,Funny,Dark Humor,Dark Comedy,Conversation,Puzzle,Simulation,Cartoony,Colorful,Hand-drawn,Score Attack,Psychedelic,Comedy,Adventure","9 Nov, 2018"
DubWars,Indie Games,(156 reviews),Very Positive,49 pуб.,хз,MURA Interactive,"Indie,Casual,Action,Music,Arcade,Shoot 'Em Up,Bullet Hell,Shooter,Rhythm","19 Jul, 2016"
Craft The World - Dig with Friends,"Indie Games,Craft The World,Downloadable Content",(165 reviews),,120 pуб.,хз,Dekovir Entertainment,"Strategy,Indie,Simulation,RPG","21 Mar, 2017"
Craft The World - Heroes,"Indie Games,Craft The World,Downloadable Content",(64 reviews),Mostly Positive,"82,50 pуб.",хз,Dekovir Entertainment,"Strategy,RPG,Indie,Simulation","22 Jun, 2020"
Krater,Indie Games,(595 reviews),,34 pуб.,хз,Fatshark,"RPG,Adventure,Post-apocalyptic,Loot,Action RPG,Co-op,Party-Based RPG,Strategy,Singleplayer,Indie,Action,Online Co-Op,Hack and Slash,Isometric,Sci-fi,Great Soundtrack,Top-Down,Crafting,Steampunk,Multiplayer","12 Jun, 2012"
Craft The World - Lonely Mountain,"Indie Games,Craft The World,Downloadable Content",(70 reviews),,140 pуб.,хз,Dekovir Entertainment,"Strategy,RPG,Indie,Simulation","27 Dec, 2019"
